speech_id,president,speech_title,src_file
Trump_2016_11_01_B,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event, Valley Forge, Pennsylvania",./Total_Corpus of Presidential Speeches/Trump_2016-11-01-B.txt
Trump_2016_11_02_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Miami, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-02-A.txt
Trump_2016_11_02_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Pensacola, Florida (24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-02-B.txt
Trump_2016_11_02_C,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Orlando, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-02-C.txt
Trump_2016_11_03_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Jacksonville, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-03-A.txt
Trump_2016_11_03_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Concord, North Carolina (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-03-B.txt
Trump_2016_11_04_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Atkinson, New Hampshire (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-04-A.txt
Trump_2016_11_04_B,trump,"Donald Trump, Republican Presidential Candidate, deliver remarks at a campaign event in Hershey, Pennsylvania (24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-04-B.txt
Trump_2016_11_04_C,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Wilmington, Ohio (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-04-C.txt
Trump_2016_11_05_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Tampa, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-05-A.txt
Trump_2016_11_05_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Reno, Nevada (24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-05-B.txt
Trump_2016_11_06,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Sioux City, Iowa (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-06.txt
Trump_2016_11_07_A,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event, Sarasota, Florida",./Total_Corpus of Presidential Speeches/Trump_2016-11-07-A.txt
Trump_2016_11_07_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Raleigh, North Carolina (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-07-B.txt
Trump_2016_11_07_C,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event, Scranton, Pennsylvania",./Total_Corpus of Presidential Speeches/Trump_2016-11-07-C.txt
Trump_2016_11_07_D,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Manchester, New Hampshire (24)",./Total_Corpus of Presidential Speeches/Trump_2016-11-07-D.txt
Trump_2016_11_08,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event, Grand Rapids, Michigan",./Total_Corpus of Presidential Speeches/Trump_2016-11-08.txt
Trump_2016_11_09,trump,"Donald Trump, Republican presidential candidate, delivers remarks following election results, New York City",./Total_Corpus of Presidential Speeches/Trump_2016-11-09.txt
adams_speeches_000,adams,Special Session Message to Congress,./Total_Corpus of Presidential Speeches/adams_speeches_000.txt
adams_speeches_001,adams,Inaugural Address,./Total_Corpus of Presidential Speeches/adams_speeches_001.txt
adams_speeches_002,adams,Second Annual Message,./Total_Corpus of Presidential Speeches/adams_speeches_002.txt
adams_speeches_003,adams,"Proclamation of Day of Fasting, Humiliation and Prayer",./Total_Corpus of Presidential Speeches/adams_speeches_003.txt
adams_speeches_004,adams,Third Annual Message,./Total_Corpus of Presidential Speeches/adams_speeches_004.txt
adams_speeches_005,adams,First Annual Message,./Total_Corpus of Presidential Speeches/adams_speeches_005.txt
adams_speeches_006,adams,Death of George Washington ,./Total_Corpus of Presidential Speeches/adams_speeches_006.txt
adams_speeches_007,adams,Proclamation of Pardons to Those Engaged in Fries Rebellion ,./Total_Corpus of Presidential Speeches/adams_speeches_007.txt
adams_speeches_008,adams,Fourth Annual Message ,./Total_Corpus of Presidential Speeches/adams_speeches_008.txt
arthur_speeches_000,arthur,Veto of the Chinese Exclusion Act,./Total_Corpus of Presidential Speeches/arthur_speeches_000.txt
arthur_speeches_001,arthur,Address Upon Assuming the Office of the President,./Total_Corpus of Presidential Speeches/arthur_speeches_001.txt
arthur_speeches_002,arthur,First Annual Message,./Total_Corpus of Presidential Speeches/arthur_speeches_002.txt
arthur_speeches_003,arthur,Veto of Safety Regulations Bill,./Total_Corpus of Presidential Speeches/arthur_speeches_003.txt
arthur_speeches_004,arthur,Veto of River and Harbors Act,./Total_Corpus of Presidential Speeches/arthur_speeches_004.txt
arthur_speeches_005,arthur,Message Regarding Congress of American Countries,./Total_Corpus of Presidential Speeches/arthur_speeches_005.txt
arthur_speeches_006,arthur,Second Annual Message,./Total_Corpus of Presidential Speeches/arthur_speeches_006.txt
arthur_speeches_007,arthur,Fourth Annual Message,./Total_Corpus of Presidential Speeches/arthur_speeches_007.txt
arthur_speeches_008,arthur,Third Annual Message,./Total_Corpus of Presidential Speeches/arthur_speeches_008.txt
arthur_speeches_009,arthur,Message Regarding Settlement on Indian Territory,./Total_Corpus of Presidential Speeches/arthur_speeches_009.txt
arthur_speeches_010,arthur,Message Regarding Central American Canal,./Total_Corpus of Presidential Speeches/arthur_speeches_010.txt
bharrison_speeches_000,bharrison,First Annual Message,./Total_Corpus of Presidential Speeches/bharrison_speeches_000.txt
bharrison_speeches_001,bharrison,Statement on the Johnstown Flood,./Total_Corpus of Presidential Speeches/bharrison_speeches_001.txt
bharrison_speeches_002,bharrison,Commemoration of the Centennial of Washington’s Inauguration,./Total_Corpus of Presidential Speeches/bharrison_speeches_002.txt
bharrison_speeches_003,bharrison,Inaugural Address,./Total_Corpus of Presidential Speeches/bharrison_speeches_003.txt
bharrison_speeches_004,bharrison,Address Honoring President Garfield,./Total_Corpus of Presidential Speeches/bharrison_speeches_004.txt
bharrison_speeches_005,bharrison,Statement at the International American Conference,./Total_Corpus of Presidential Speeches/bharrison_speeches_005.txt
bharrison_speeches_006,bharrison,Message Regarding the International American Conference,./Total_Corpus of Presidential Speeches/bharrison_speeches_006.txt
bharrison_speeches_007,bharrison,Proclamation Regarding Indian Title to Land,./Total_Corpus of Presidential Speeches/bharrison_speeches_007.txt
bharrison_speeches_008,bharrison,Message Regarding Death of Treasury Secretary,./Total_Corpus of Presidential Speeches/bharrison_speeches_008.txt
bharrison_speeches_009,bharrison,Second Annual Message,./Total_Corpus of Presidential Speeches/bharrison_speeches_009.txt
bharrison_speeches_010,bharrison,Third Annual Message,./Total_Corpus of Presidential Speeches/bharrison_speeches_010.txt
bharrison_speeches_011,bharrison,Message Regarding Valparaiso Incident,./Total_Corpus of Presidential Speeches/bharrison_speeches_011.txt
bharrison_speeches_012,bharrison,Message Regarding US - Chilean Affairs,./Total_Corpus of Presidential Speeches/bharrison_speeches_012.txt
bharrison_speeches_013,bharrison,Speech Accepting the Republican Nomination,./Total_Corpus of Presidential Speeches/bharrison_speeches_013.txt
bharrison_speeches_014,bharrison,Fourth Annual Message,./Total_Corpus of Presidential Speeches/bharrison_speeches_014.txt
bharrison_speeches_015,bharrison,Message Regarding Hawaiian Annexation,./Total_Corpus of Presidential Speeches/bharrison_speeches_015.txt
buchanan_speeches_000,buchanan,Second Annual Message,./Total_Corpus of Presidential Speeches/buchanan_speeches_000.txt
buchanan_speeches_001,buchanan,Inaugural Address,./Total_Corpus of Presidential Speeches/buchanan_speeches_001.txt
buchanan_speeches_002,buchanan,First Annual Message,./Total_Corpus of Presidential Speeches/buchanan_speeches_002.txt
buchanan_speeches_003,buchanan,Message to Congress Transmitting the Constitution of Kansas,./Total_Corpus of Presidential Speeches/buchanan_speeches_003.txt
buchanan_speeches_004,buchanan,Protest of Congressional Investigations,./Total_Corpus of Presidential Speeches/buchanan_speeches_004.txt
buchanan_speeches_005,buchanan,Special Message Regarding Transit Across Central America,./Total_Corpus of Presidential Speeches/buchanan_speeches_005.txt
buchanan_speeches_006,buchanan,Veto Message Regarding Land - Grant Colleges,./Total_Corpus of Presidential Speeches/buchanan_speeches_006.txt
buchanan_speeches_007,buchanan,Third Annual Message,./Total_Corpus of Presidential Speeches/buchanan_speeches_007.txt
buchanan_speeches_008,buchanan,Message on the Capture of the Wildfire,./Total_Corpus of Presidential Speeches/buchanan_speeches_008.txt
buchanan_speeches_009,buchanan,Addendum to March 28 Message to Congress,./Total_Corpus of Presidential Speeches/buchanan_speeches_009.txt
buchanan_speeches_010,buchanan,Message on Threats to the Peace and Existence of the Union,./Total_Corpus of Presidential Speeches/buchanan_speeches_010.txt
buchanan_speeches_011,buchanan,Fourth Annual Message,./Total_Corpus of Presidential Speeches/buchanan_speeches_011.txt
buchanan_speeches_012,buchanan,"Message Regarding the Presence of Troops in Washington, DC",./Total_Corpus of Presidential Speeches/buchanan_speeches_012.txt
buchanan_speeches_013,buchanan,Message on Resolutions of Virginia,./Total_Corpus of Presidential Speeches/buchanan_speeches_013.txt
bush_speeches_000,bush,Debate with Michael Dukakis,./Total_Corpus of Presidential Speeches/bush_speeches_000.txt
bush_speeches_001,bush,Inaugural Address,./Total_Corpus of Presidential Speeches/bush_speeches_001.txt
bush_speeches_002,bush,Acceptance Speech at the Republican National Convention,./Total_Corpus of Presidential Speeches/bush_speeches_002.txt
bush_speeches_003,bush,Address to the Nation on Panama,./Total_Corpus of Presidential Speeches/bush_speeches_003.txt
bush_speeches_004,bush,Commencement Address at Texas A and M University,./Total_Corpus of Presidential Speeches/bush_speeches_004.txt
bush_speeches_005,bush,Address Before a Joint Session of Congress,./Total_Corpus of Presidential Speeches/bush_speeches_005.txt
bush_speeches_006,bush,State of the Union Address,./Total_Corpus of Presidential Speeches/bush_speeches_006.txt
bush_speeches_007,bush,Remarks on the Signing of the Americans with Disabilities Act,./Total_Corpus of Presidential Speeches/bush_speeches_007.txt
bush_speeches_008,bush,Address on Iraq's Invasion of Kuwait,./Total_Corpus of Presidential Speeches/bush_speeches_008.txt
bush_speeches_009,bush,Address Before a Joint Session of Congress,./Total_Corpus of Presidential Speeches/bush_speeches_009.txt
bush_speeches_010,bush,Address to the United Nations,./Total_Corpus of Presidential Speeches/bush_speeches_010.txt
bush_speeches_011,bush,Address to the Nation on the Budget,./Total_Corpus of Presidential Speeches/bush_speeches_011.txt
bush_speeches_012,bush,Address to the Nation on the Invasion of Iraq,./Total_Corpus of Presidential Speeches/bush_speeches_012.txt
bush_speeches_013,bush,State of the Union Address,./Total_Corpus of Presidential Speeches/bush_speeches_013.txt
bush_speeches_014,bush,Address on the End of the Gulf War,./Total_Corpus of Presidential Speeches/bush_speeches_014.txt
bush_speeches_015,bush,Address Before a Joint Session of Congress on the End of the Gulf War,./Total_Corpus of Presidential Speeches/bush_speeches_015.txt
bush_speeches_016,bush,Press Conference with Mikhail Gorbachev,./Total_Corpus of Presidential Speeches/bush_speeches_016.txt
bush_speeches_017,bush,Republican National Convention,./Total_Corpus of Presidential Speeches/bush_speeches_017.txt
bush_speeches_018,bush,State of the Union Address,./Total_Corpus of Presidential Speeches/bush_speeches_018.txt
bush_speeches_019,bush,Debate with Bill Clinton and Ross Perot,./Total_Corpus of Presidential Speeches/bush_speeches_019.txt
bush_speeches_020,bush,Address on Somalia,./Total_Corpus of Presidential Speeches/bush_speeches_020.txt
bush_speeches_021,bush,Remarks at Texas A and M University,./Total_Corpus of Presidential Speeches/bush_speeches_021.txt
bush_speeches_022,bush,Address at West Point,./Total_Corpus of Presidential Speeches/bush_speeches_022.txt
carter_speeches_000,carter,Farewell Speech,./Total_Corpus of Presidential Speeches/carter_speeches_000.txt
carter_speeches_001,carter,Debate with President Gerald Ford,./Total_Corpus of Presidential Speeches/carter_speeches_001.txt
carter_speeches_002,carter,Debate with President Gerald Ford,./Total_Corpus of Presidential Speeches/carter_speeches_002.txt
carter_speeches_003,carter,Debate with President Gerald Ford,./Total_Corpus of Presidential Speeches/carter_speeches_003.txt
carter_speeches_004,carter,Inaugural Address,./Total_Corpus of Presidential Speeches/carter_speeches_004.txt
carter_speeches_005,carter,Report to the American People on Energy,./Total_Corpus of Presidential Speeches/carter_speeches_005.txt
carter_speeches_006,carter,Remarks at President Carter's Press Conference,./Total_Corpus of Presidential Speeches/carter_speeches_006.txt
carter_speeches_007,carter,Address to the Nation on Energy,./Total_Corpus of Presidential Speeches/carter_speeches_007.txt
carter_speeches_008,carter,University of Notre Dame Commencement,./Total_Corpus of Presidential Speeches/carter_speeches_008.txt
carter_speeches_009,carter,Address to the Nation on Energy,./Total_Corpus of Presidential Speeches/carter_speeches_009.txt
carter_speeches_010,carter,Statement on the Panama Canal Treaty Signing,./Total_Corpus of Presidential Speeches/carter_speeches_010.txt
carter_speeches_011,carter,President Carter's Remarks on Joint Statement at Camp David Summit,./Total_Corpus of Presidential Speeches/carter_speeches_011.txt
carter_speeches_012,carter,State of the Union Address,./Total_Corpus of Presidential Speeches/carter_speeches_012.txt
carter_speeches_013,carter,Anti - Inflation Program Speech,./Total_Corpus of Presidential Speeches/carter_speeches_013.txt
carter_speeches_014,carter,Speech on Establishing Diplomatic Relations with China,./Total_Corpus of Presidential Speeches/carter_speeches_014.txt
carter_speeches_015,carter,State of the Union Address,./Total_Corpus of Presidential Speeches/carter_speeches_015.txt
carter_speeches_016,carter,Crisis of Confidence Speech,./Total_Corpus of Presidential Speeches/carter_speeches_016.txt
carter_speeches_017,carter,State of the Union Address,./Total_Corpus of Presidential Speeches/carter_speeches_017.txt
